[2020-08-09 09:58:53,304] acph-aprs-logger.WARNING: ACPH APRS logger starting...
[2020-08-09 10:09:12,429] acph.class_flights_logbook.INFO: handle beacon server, raw data: # aprsc 2.1.5-g8af3cdc 9 Aug 2020 08:09:12 GMT GLIDERN2 51.68.189.96:14580
[2020-08-09 10:09:32,613] acph.class_flights_logbook.INFO: handle beacon server, raw data: # aprsc 2.1.5-g8af3cdc 9 Aug 2020 08:09:32 GMT GLIDERN2 51.68.189.96:14580
[2020-08-09 10:09:52,571] acph.class_flights_logbook.INFO: handle beacon server, raw data: # aprsc 2.1.5-g8af3cdc 9 Aug 2020 08:09:52 GMT GLIDERN2 51.68.189.96:14580
[2020-08-09 10:10:12,550] acph.class_flights_logbook.INFO: handle beacon server, raw data: # aprsc 2.1.5-g8af3cdc 9 Aug 2020 08:10:12 GMT GLIDERN2 51.68.189.96:14580
[2020-08-09 10:10:32,508] acph.class_flights_logbook.INFO: handle beacon server, raw data: # aprsc 2.1.5-g8af3cdc 9 Aug 2020 08:10:32 GMT GLIDERN2 51.68.189.96:14580
[2020-08-09 10:10:52,479] acph.class_flights_logbook.INFO: handle beacon server, raw data: # aprsc 2.1.5-g8af3cdc 9 Aug 2020 08:10:52 GMT GLIDERN2 51.68.189.96:14580
[2020-08-09 10:11:12,452] acph.class_flights_logbook.INFO: handle beacon server, raw data: # aprsc 2.1.5-g8af3cdc 9 Aug 2020 08:11:12 GMT GLIDERN2 51.68.189.96:14580
[2020-08-09 10:11:32,414] acph.class_flights_logbook.INFO: handle beacon server, raw data: # aprsc 2.1.5-g8af3cdc 9 Aug 2020 08:11:32 GMT GLIDERN2 51.68.189.96:14580
[2020-08-09 10:11:52,593] acph.class_flights_logbook.INFO: handle beacon server, raw data: # aprsc 2.1.5-g8af3cdc 9 Aug 2020 08:11:52 GMT GLIDERN2 51.68.189.96:14580
[2020-08-09 10:12:12,565] acph.class_flights_logbook.INFO: handle beacon server, raw data: # aprsc 2.1.5-g8af3cdc 9 Aug 2020 08:12:12 GMT GLIDERN2 51.68.189.96:14580
[2020-08-09 10:12:32,526] acph.class_flights_logbook.INFO: handle beacon server, raw data: # aprsc 2.1.5-g8af3cdc 9 Aug 2020 08:12:32 GMT GLIDERN2 51.68.189.96:14580
[2020-08-09 10:12:52,506] acph.class_flights_logbook.INFO: handle beacon server, raw data: # aprsc 2.1.5-g8af3cdc 9 Aug 2020 08:12:52 GMT GLIDERN2 51.68.189.96:14580
[2020-08-09 10:13:12,501] acph.class_flights_logbook.INFO: handle beacon server, raw data: # aprsc 2.1.5-g8af3cdc 9 Aug 2020 08:13:12 GMT GLIDERN2 51.68.189.96:14580
[2020-08-09 10:13:32,472] acph.class_flights_logbook.INFO: handle beacon server, raw data: # aprsc 2.1.5-g8af3cdc 9 Aug 2020 08:13:32 GMT GLIDERN2 51.68.189.96:14580
[2020-08-09 10:13:52,424] acph.class_flights_logbook.INFO: handle beacon server, raw data: # aprsc 2.1.5-g8af3cdc 9 Aug 2020 08:13:52 GMT GLIDERN2 51.68.189.96:14580
[2020-08-09 10:14:12,592] acph.class_flights_logbook.INFO: handle beacon server, raw data: # aprsc 2.1.5-g8af3cdc 9 Aug 2020 08:14:12 GMT GLIDERN2 51.68.189.96:14580
[2020-08-09 10:14:32,563] acph.class_flights_logbook.INFO: handle beacon server, raw data: # aprsc 2.1.5-g8af3cdc 9 Aug 2020 08:14:32 GMT GLIDERN2 51.68.189.96:14580
[2020-08-09 10:14:52,533] acph.class_flights_logbook.INFO: handle beacon server, raw data: # aprsc 2.1.5-g8af3cdc 9 Aug 2020 08:14:52 GMT GLIDERN2 51.68.189.96:14580
[2020-08-09 10:15:12,496] acph.class_flights_logbook.INFO: handle beacon server, raw data: # aprsc 2.1.5-g8af3cdc 9 Aug 2020 08:15:12 GMT GLIDERN2 51.68.189.96:14580
[2020-08-09 10:15:32,452] acph.class_flights_logbook.INFO: handle beacon server, raw data: # aprsc 2.1.5-g8af3cdc 9 Aug 2020 08:15:32 GMT GLIDERN2 51.68.189.96:14580
[2020-08-09 10:15:52,413] acph.class_flights_logbook.INFO: handle beacon server, raw data: # aprsc 2.1.5-g8af3cdc 9 Aug 2020 08:15:52 GMT GLIDERN2 51.68.189.96:14580
[2020-08-09 10:16:12,604] acph.class_flights_logbook.INFO: handle beacon server, raw data: # aprsc 2.1.5-g8af3cdc 9 Aug 2020 08:16:12 GMT GLIDERN2 51.68.189.96:14580
[2020-08-09 10:16:32,581] acph.class_flights_logbook.INFO: handle beacon server, raw data: # aprsc 2.1.5-g8af3cdc 9 Aug 2020 08:16:32 GMT GLIDERN2 51.68.189.96:14580
[2020-08-09 10:16:52,548] acph.class_flights_logbook.INFO: handle beacon server, raw data: # aprsc 2.1.5-g8af3cdc 9 Aug 2020 08:16:52 GMT GLIDERN2 51.68.189.96:14580
[2020-08-09 10:17:12,538] acph.class_flights_logbook.INFO: handle beacon server, raw data: # aprsc 2.1.5-g8af3cdc 9 Aug 2020 08:17:12 GMT GLIDERN2 51.68.189.96:14580
[2020-08-09 10:17:32,507] acph.class_flights_logbook.INFO: handle beacon server, raw data: # aprsc 2.1.5-g8af3cdc 9 Aug 2020 08:17:32 GMT GLIDERN2 51.68.189.96:14580
[2020-08-09 10:17:52,460] acph.class_flights_logbook.INFO: handle beacon server, raw data: # aprsc 2.1.5-g8af3cdc 9 Aug 2020 08:17:52 GMT GLIDERN2 51.68.189.96:14580
[2020-08-09 10:18:12,462] acph.class_flights_logbook.INFO: handle beacon server, raw data: # aprsc 2.1.5-g8af3cdc 9 Aug 2020 08:18:12 GMT GLIDERN2 51.68.189.96:14580
[2020-08-09 10:18:32,420] acph.class_flights_logbook.INFO: handle beacon server, raw data: # aprsc 2.1.5-g8af3cdc 9 Aug 2020 08:18:32 GMT GLIDERN2 51.68.189.96:14580
[2020-08-09 10:18:52,603] acph.class_flights_logbook.INFO: handle beacon server, raw data: # aprsc 2.1.5-g8af3cdc 9 Aug 2020 08:18:52 GMT GLIDERN2 51.68.189.96:14580
[2020-08-09 10:19:12,576] acph.class_flights_logbook.INFO: handle beacon server, raw data: # aprsc 2.1.5-g8af3cdc 9 Aug 2020 08:19:12 GMT GLIDERN2 51.68.189.96:14580
[2020-08-09 10:19:32,532] acph.class_flights_logbook.INFO: handle beacon server, raw data: # aprsc 2.1.5-g8af3cdc 9 Aug 2020 08:19:32 GMT GLIDERN2 51.68.189.96:14580
[2020-08-09 10:19:52,498] acph.class_flights_logbook.INFO: handle beacon server, raw data: # aprsc 2.1.5-g8af3cdc 9 Aug 2020 08:19:52 GMT GLIDERN2 51.68.189.96:14580
[2020-08-09 10:20:12,458] acph.class_flights_logbook.INFO: handle beacon server, raw data: # aprsc 2.1.5-g8af3cdc 9 Aug 2020 08:20:12 GMT GLIDERN2 51.68.189.96:14580
[2020-08-09 10:20:32,440] acph.class_flights_logbook.INFO: handle beacon server, raw data: # aprsc 2.1.5-g8af3cdc 9 Aug 2020 08:20:32 GMT GLIDERN2 51.68.189.96:14580
[2020-08-09 10:20:52,592] acph.class_flights_logbook.INFO: handle beacon server, raw data: # aprsc 2.1.5-g8af3cdc 9 Aug 2020 08:20:52 GMT GLIDERN2 51.68.189.96:14580
[2020-08-09 10:21:12,574] acph.class_flights_logbook.INFO: handle beacon server, raw data: # aprsc 2.1.5-g8af3cdc 9 Aug 2020 08:21:12 GMT GLIDERN2 51.68.189.96:14580
[2020-08-09 10:21:32,550] acph.class_flights_logbook.INFO: handle beacon server, raw data: # aprsc 2.1.5-g8af3cdc 9 Aug 2020 08:21:32 GMT GLIDERN2 51.68.189.96:14580
[2020-08-09 10:21:52,503] acph.class_flights_logbook.INFO: handle beacon server, raw data: # aprsc 2.1.5-g8af3cdc 9 Aug 2020 08:21:52 GMT GLIDERN2 51.68.189.96:14580
[2020-08-09 10:22:12,495] acph.class_flights_logbook.INFO: handle beacon server, raw data: # aprsc 2.1.5-g8af3cdc 9 Aug 2020 08:22:12 GMT GLIDERN2 51.68.189.96:14580
[2020-08-09 10:22:32,441] acph.class_flights_logbook.INFO: handle beacon server, raw data: # aprsc 2.1.5-g8af3cdc 9 Aug 2020 08:22:32 GMT GLIDERN2 51.68.189.96:14580
[2020-08-09 10:22:52,411] acph.class_flights_logbook.INFO: handle beacon server, raw data: # aprsc 2.1.5-g8af3cdc 9 Aug 2020 08:22:52 GMT GLIDERN2 51.68.189.96:14580
[2020-08-09 10:23:12,598] acph.class_flights_logbook.INFO: handle beacon server, raw data: # aprsc 2.1.5-g8af3cdc 9 Aug 2020 08:23:12 GMT GLIDERN2 51.68.189.96:14580
[2020-08-09 10:23:32,560] acph.class_flights_logbook.INFO: handle beacon server, raw data: # aprsc 2.1.5-g8af3cdc 9 Aug 2020 08:23:32 GMT GLIDERN2 51.68.189.96:14580
[2020-08-09 10:23:52,533] acph.class_flights_logbook.INFO: handle beacon server, raw data: # aprsc 2.1.5-g8af3cdc 9 Aug 2020 08:23:52 GMT GLIDERN2 51.68.189.96:14580
[2020-08-09 10:24:12,504] acph.class_flights_logbook.INFO: handle beacon server, raw data: # aprsc 2.1.5-g8af3cdc 9 Aug 2020 08:24:12 GMT GLIDERN2 51.68.189.96:14580
[2020-08-09 10:24:32,466] acph.class_flights_logbook.INFO: handle beacon server, raw data: # aprsc 2.1.5-g8af3cdc 9 Aug 2020 08:24:32 GMT GLIDERN2 51.68.189.96:14580
[2020-08-09 10:24:52,447] acph.class_flights_logbook.INFO: handle beacon server, raw data: # aprsc 2.1.5-g8af3cdc 9 Aug 2020 08:24:52 GMT GLIDERN2 51.68.189.96:14580
[2020-08-09 10:25:12,399] acph.class_flights_logbook.INFO: handle beacon server, raw data: # aprsc 2.1.5-g8af3cdc 9 Aug 2020 08:25:12 GMT GLIDERN2 51.68.189.96:14580
[2020-08-09 10:25:32,432] acph.class_flights_logbook.INFO: handle beacon server, raw data: # aprsc 2.1.5-g8af3cdc 9 Aug 2020 08:25:32 GMT GLIDERN2 51.68.189.96:14580
[2020-08-09 10:25:52,398] acph.class_flights_logbook.INFO: handle beacon server, raw data: # aprsc 2.1.5-g8af3cdc 9 Aug 2020 08:25:52 GMT GLIDERN2 51.68.189.96:14580
[2020-08-09 10:26:12,575] acph.class_flights_logbook.INFO: handle beacon server, raw data: # aprsc 2.1.5-g8af3cdc 9 Aug 2020 08:26:12 GMT GLIDERN2 51.68.189.96:14580
[2020-08-09 10:26:32,562] acph.class_flights_logbook.INFO: handle beacon server, raw data: # aprsc 2.1.5-g8af3cdc 9 Aug 2020 08:26:32 GMT GLIDERN2 51.68.189.96:14580
[2020-08-09 10:26:52,536] acph.class_flights_logbook.INFO: handle beacon server, raw data: # aprsc 2.1.5-g8af3cdc 9 Aug 2020 08:26:52 GMT GLIDERN2 51.68.189.96:14580
[2020-08-09 10:27:12,497] acph.class_flights_logbook.INFO: handle beacon server, raw data: # aprsc 2.1.5-g8af3cdc 9 Aug 2020 08:27:12 GMT GLIDERN2 51.68.189.96:14580
[2020-08-09 10:27:32,481] acph.class_flights_logbook.INFO: handle beacon server, raw data: # aprsc 2.1.5-g8af3cdc 9 Aug 2020 08:27:32 GMT GLIDERN2 51.68.189.96:14580
